Feature,Importance
kabupaten,0.017489583513223488
dsls_m0,0.016223472271891373
arpu_90d_m0,0.01571668133358998
rtt_xl_10,0.015648868304316325
latency_xl_10,0.015507493131463343
dslv_m0,0.015372349348137705
arpu_m0,0.014863818016494132
rev_per_trx_m0,0.014455541180251776
game_usage,0.014355150649496252
duration_all,0.014149499725423044
video_usage,0.014087729577311383
mrev_90d_m0,0.014042460636662809
rev_m0,0.013987004039731321
mrev_data_90d_m0,0.013919177079563857
rembal_m0,0.01379173535253948
rpt_mov3,0.013768150468671133
ds_xl_10,0.013543463384211762
dsls_m1,0.013064147871010937
duration_critical,0.013057621518826402
arpu_90d_m1,0.013002402676588833
arpu_mov3,0.012908216515523782
dom_pack_name,0.012785917321788005
dslv_m1,0.012463572471464901
rpt_mov5,0.012161873601042074
dsls_m2,0.012150785834203317
dom_price,0.012006281791388984
arpu_m1,0.011960955478920794
rembal_m1,0.011763800582650946
dsls_m3,0.011736759237976681
rev_per_trx_m1,0.011681453839095685
rpt_mov4,0.011654567990554447
arpu_90d_m2,0.011650095995381084
rpt_mov2,0.011622376772210827
arpu_90d_m3,0.011443051061867484
mrev_90d_m1,0.011187286982883026
rev_m1,0.011184517530495094
arpu_mov5,0.011170265899147023
mrev_data_90d_m1,0.01116338984891743
dslv_m2,0.011066884496632024
ss_xl_10,0.011032550630031097
rembal_m2,0.010987166941152782
arpu_mov2,0.010911484908160652
dslv_m3,0.010620101356422275
arpu_m2,0.010599925255986612
rpt_mov1,0.010582036967415746
rembal_m3,0.010533864122896208
arpu_mov4,0.01051305811370823
mrev_90d_m2,0.010492399635398287
dwe_m0,0.010406340182214069
arpu_m3,0.01038163770299703
mrev_data_90d_m2,0.010323756098352855
mrev_90d_m3,0.010299373139960474
rev_per_trx_m2,0.01020174693469063
rev_per_trx_m3,0.010181563242953119
mrev_data_90d_m3,0.010173068999728415
arpu_mov1,0.010109307635890602
dom_allowance,0.009917807626457624
rev_m2,0.009778016811675854
duration_catash,0.009592945287410032
rev_m3,0.009439333056717611
total_incident_critical,0.009272920404639546
total_incident_all,0.009173195073598888
micro_journey,0.00849365710469282
trx_mov3,0.008046668175643153
mrev_voice_90d_m0,0.007939413916643254
dwe_m1,0.007746477242808856
trx_m0,0.007466760390634217
trx_mov5,0.0071363056366993746
dwv_m0,0.007016301354424775
total_incident_catash,0.006877024656366416
trx_mov4,0.006828509241871359
trx_mov2,0.006767215745405559
dwe_m2,0.0067313433181139665
region,0.006593527334365317
mrev_voice_90d_m1,0.006537572753266467
dwe_m3,0.0064957933023318155
trx_mov1,0.0064283989494730385
dwv_m1,0.0061653531287557215
trx_m1,0.0061377633522497295
macro_journey,0.005846902327312613
dwv_m3,0.005806383363271326
mrev_voice_90d_m3,0.005798822681918476
mrev_voice_90d_m2,0.005787565931413665
dom_pack_group,0.005637504676652899
dwv_m2,0.005566121376697286
trx_m3,0.005278271529918027
trx_m2,0.005262079339711617
dsle_m0,0.0050319576578960225
usage_segment,0.004974899320157693
dws_m0,0.004708586414612218
dom_discount,0.004578004680198178
arpu_segment,0.004394309707745107
dws_m1,0.00421001911306237
tenure_cat,0.003949873595728972
dsle_m1,0.0037057213228793642
dws_m3,0.0036568124810963617
dws_m2,0.0035801471554747894
dom_validity,0.003558558117848391
dom_channel,0.0032833251632108282
dsle_m2,0.003193347083677561
dsle_m3,0.0030581606111655946
value_segment_90d_m3,0.0027051696451252075
value_segment_90d_m1,0.0024093116537931736
value_segment_90d_m2,0.0023803952612230644
dom_camp_type,0.0023362526619524304
inquiries_sum,0.002324612224088319
complaint_sum,0.002284430210986225
interaction_sum,0.002270467908026125
category,0.0022297317493399633
value_segment_90d_m0,0.0020721691967690776
voice_user_m0,0.0015930073862698976
voice_user_m3,0.0015056076972262454
high_apps_engagement_flag,0.0014346192315159928
voice_user_m1,0.0013861717175094753
voice_user_m2,0.0013394576908904237
cx_centric_flag,0.0012387017821748625
akrab_user_flag,0.00084004768998775
brand_medallia,4.238357771913017e-05
brand_category,0.0
brand,0.0
